judet,totalsomeridincare:,farastudii,invatamantprimar,invatamantgimnazial,invatamantliceal,invatamantposticeal,invatamantprofesional/artesimeserii,invatamantuniversitar,origin,judet.1,numartotalsomeri,numartotalsomerifemei,numartotalsomeribarbati,numartotalsomeridinmediulurban,numarsomerifemeidinmediulurban,numarsomeribarbatidinmediulurban,numartotalsomeridinmediulrural,numarsomerifemeidinmediulrural,numarsomeribarbatidinmediulrural,origin.1,judet.2,numartotalsomeri.1,numartotalsomerifemei.1,numartotalsomeribarbati.1,numarsomeriindemnizati,numarsomerineindemnizati,ratasomajului(%),ratasomajuluifeminina(%),ratasomajuluimasculina(%),origin.2,judet.3,total,sub25ani,2529ani,3039ani,4049ani,5055ani,peste55ani,origin.3,year,month,yearmonth
iasi,9810,607,1854,3082,1061,96,2562,548,21-02-educatie,iasi,9810,4481,5329,2024,1108,916,7786,3373,4413,21-02-medii,iasi,9810,4481,5329,2153,7657,3.3,3.21,3.37,21-02-rata,iasi,9810,854,276,1430,2805,2057,2388,21-02-varsta,2021,2,202102
ilfov,1382,67,364,227,359,20,172,173,21-02-educatie,ilfov,1382,857,525,364,230,134,1018,627,391,21-02-medii,ilfov,1382,857,525,943,439,0.67,0.97,0.44,21-02-rata,ilfov,1382,122,53,276,452,311,168,21-02-varsta,2021,2,202102
maramures,4048,83,421,810,1399,147,800,388,21-02-educatie,maramures,4048,2087,1961,2182,1208,974,1866,879,987,21-02-medii,maramures,4048,2087,1961,2330,1718,2.01,2.24,1.8,21-02-rata,maramures,4048,1107,257,676,933,598,477,21-02-varsta,2021,2,202102
mehedinti,6266,0,1274,2757,1212,99,782,142,21-02-educatie,mehedinti,6266,2798,3468,1738,924,814,4528,1874,2654,21-02-medii,mehedinti,6266,2798,3468,1723,4543,6.14,5.89,6.36,21-02-rata,mehedinti,6266,561,399,1292,2012,933,1069,21-02-varsta,2021,2,202102
mures,6442,768,2037,1393,960,95,828,361,21-02-educatie,mures,6442,3040,3402,1992,1054,938,4450,1986,2464,21-02-medii,mures,6442,3040,3402,2201,4241,2.73,2.89,2.6,21-02-rata,mures,6442,1001,401,1315,1772,934,1019,21-02-varsta,2021,2,202102
neamt,9097,786,1260,2870,1984,125,1733,339,21-02-educatie,neamt,9097,4053,5044,1809,991,818,7288,3062,4226,21-02-medii,neamt,9097,4053,5044,2580,6517,5.0,4.87,5.11,21-02-rata,neamt,9097,1006,376,1411,2506,1889,1909,21-02-varsta,2021,2,202102
olt,9552,801,1296,3330,2231,186,1574,134,21-02-educatie,olt,9552,4330,5222,2164,1256,908,7388,3074,4314,21-02-medii,olt,9552,4330,5222,2404,7148,5.93,5.85,5.99,21-02-rata,olt,9552,889,336,1394,2797,2074,2062,21-02-varsta,2021,2,202102
prahova,8517,542,1113,2136,2065,223,1770,668,21-02-educatie,prahova,8517,4450,4067,3123,1819,1304,5394,2631,2763,21-02-medii,prahova,8517,4450,4067,4335,4182,2.93,3.61,2.43,21-02-rata,prahova,8517,884,350,1483,2445,2037,1318,21-02-varsta,2021,2,202102
salaj,5267,392,1523,1384,938,95,689,246,21-02-educatie,salaj,5267,2428,2839,1227,716,511,4040,1712,2328,21-02-medii,salaj,5267,2428,2839,1671,3596,5.09,5.36,4.89,21-02-rata,salaj,5267,805,312,1133,1350,915,752,21-02-varsta,2021,2,202102
satumare,5398,649,2104,1508,537,32,423,145,21-02-educatie,satumare,5398,2524,2874,1134,596,538,4264,1928,2336,21-02-medii,satum,5398,2524,2874,1155,4243,3.69,3.74,3.64,21-02-rata,satumare,5398,723,358,1192,1574,811,740,21-02-varsta,2021,2,202102
sibiu,5230,461,1315,1220,908,91,812,423,21-02-educatie,sibiu,5230,2527,2703,2029,1127,902,3201,1400,1801,21-02-medii,sibiu,5230,2527,2703,2359,2871,2.66,2.95,2.44,21-02-rata,sibiu,5230,508,320,1058,1474,893,977,21-02-varsta,2021,2,202102
suceava,11096,921,1631,3128,2447,197,2260,512,21-02-educatie,suceava,11096,4929,6167,3332,1684,1648,7764,3245,4519,21-02-medii,suceava,11096,4929,6167,5107,5989,4.79,4.65,4.91,21-02-rata,suceava,11096,1833,615,1961,2944,1806,1937,21-02-varsta,2021,2,202102
teleorman,9319,574,1141,4602,1512,105,1271,114,21-02-educatie,teleorman,9319,3868,5451,1962,996,966,7357,2872,4485,21-02-medii,teleorman,9319,3868,5451,1827,7492,6.64,5.65,7.58,21-02-rata,teleorman,9319,891,472,1518,2522,2028,1888,21-02-varsta,2021,2,202102
timis,4402,696,238,805,1273,99,678,613,21-02-educatie,timis,4402,2423,1979,2198,1286,912,2204,1137,1067,21-02-medii,timis,4402,2423,1979,2648,1754,1.26,1.56,1.01,21-02-rata,timis,4402,515,263,775,1122,905,822,21-02-varsta,2021,2,202102
tulcea,2779,0,663,869,723,0,441,83,21-02-educatie,tulcea,2779,1307,1472,775,428,347,2004,879,1125,21-02-medii,tulcea,2779,1307,1472,1021,1758,3.36,3.38,3.34,21-02-rata,tulcea,2779,389,127,431,846,667,319,21-02-varsta,2021,2,202102
valcea,6053,203,547,1711,1817,142,1228,405,21-02-educatie,valcea,6053,3014,3039,2246,1258,988,3807,1756,2051,21-02-medii,valcea,6053,3014,3039,2949,3104,3.75,4.17,3.41,21-02-rata,valcea,6053,657,281,922,1729,1466,998,21-02-varsta,2021,2,202102
vaslui,9672,382,2230,3631,1730,78,1501,120,21-02-educatie,vaslui,9672,4071,5601,1728,958,770,7944,3113,4831,21-02-medii,vaslui,9672,4071,5601,2005,7667,7.24,6.29,8.14,21-02-rata,vaslui,9672,600,309,1432,3085,2213,2033,21-02-varsta,2021,2,202102
vrancea,5793,350,1561,1995,992,72,656,167,21-02-educatie,vrancea,5793,2472,3321,1190,600,590,4603,1872,2731,21-02-medii,vrancea,5793,2472,3321,1266,4527,4.25,3.87,4.57,21-02-rata,vrancea,5793,673,286,950,1501,1204,1179,21-02-varsta,2021,2,202102
alba,6332,653,1057,1656,1464,91,1036,375,21-03-educatie,alba,6332,3031,3301,2274,1237,1037,4058,1794,2264,21-03-medii,alba,6332,3031,3301,2454,3878,3.76,3.9,3.64,21-03-rata,alba,6332,600,372,1265,1730,1262,1103,21-03-varsta,2021,3,202103
arad,4486,743,531,1065,1055,69,594,429,21-03-educatie,arad,4486,2473,2013,1930,1135,795,2556,1338,1218,21-03-medii,arad,4486,2473,2013,2509,1977,2.12,2.66,1.69,21-03-rata,arad,4486,384,177,677,1294,1049,905,21-03-varsta,2021,3,202103
arges,9875,534,1956,2846,2059,126,1817,537,21-03-educatie,arges,9875,4952,4923,2372,1485,887,7503,3467,4036,21-03-medii,arges,9875,4952,4923,4285,5590,3.81,4.1,3.56,21-03-rata,arges,9875,725,512,1803,2880,2214,1741,21-03-varsta,2021,3,202103
bacau,12516,1133,1716,3386,3159,125,2657,340,21-03-educatie,bacau,12516,5241,7275,3073,1515,1558,9443,3726,5717,21-03-medii,bacau,12516,5241,7275,2686,9830,5.87,5.61,6.08,21-03-rata,bacau,12516,1497,609,1891,3267,2420,2832,21-03-varsta,2021,3,202103
bihor,6280,324,1012,1761,1502,98,992,591,21-03-educatie,bihor,6280,3599,2681,2313,1492,821,3967,2107,1860,21-03-medii,bihor,6280,3599,2681,3790,2490,2.38,2.95,1.88,21-03-rata,bihor,6280,590,367,1176,1939,1170,1038,21-03-varsta,2021,3,202103
bistrita,4613,172,571,1280,1389,82,862,257,21-03-educatie,bistrita,4613,2362,2251,1622,883,739,2991,1479,1512,21-03-medii,bistrita,4613,2362,2251,2348,2265,3.59,4.07,3.2,21-03-rata,bistrita,4613,683,257,734,1174,922,843,21-03-varsta,2021,3,202103
botosani,3888,183,1119,972,702,70,691,151,21-03-educatie,botosani,3888,1768,2120,1407,728,679,2481,1040,1441,21-03-medii,botosani,3888,1768,2120,1361,2527,2.83,2.7,2.95,21-03-rata,botosani,3888,391,130,520,1071,811,965,21-03-varsta,2021,3,202103
braila,5265,805,1270,1780,571,64,599,176,21-03-educatie,braila,5265,2207,3058,1452,769,683,3813,1438,2375,21-03-medii,braila,5265,2207,3058,1170,4095,4.31,4.0,4.56,21-03-rata,braila,5265,529,224,839,1536,969,1168,21-03-varsta,2021,3,202103
brasov,6551,1096,1438,1579,1019,89,772,558,21-03-educatie,brasov,6551,3095,3456,2394,1292,1102,4157,1803,2354,21-03-medii,brasov,6551,3095,3456,1975,4576,2.49,2.75,2.3,21-03-rata,brasov,6551,811,392,1310,1636,1153,1249,21-03-varsta,2021,3,202103
bucuresti,14974,27,163,2517,5258,312,2766,3931,21-03-educatie,buc,14974,8127,6847,14974,8127,6847,0,0,0,21-03-medii,buc,14974,8127,6847,4601,10373,1.21,1.32,1.1,21-03-rata,buc,14974,288,1382,3549,4287,3083,2385,21-03-varsta,2021,3,202103
buzau,10295,937,2363,3417,1513,117,1757,191,21-03-educatie,buzau,10295,4103,6192,1752,855,897,8543,3248,5295,21-03-medii,buzau,10295,4103,6192,2346,7949,6.0,5.13,6.75,21-03-rata,buzau,10295,793,430,1571,2938,2278,2285,21-03-varsta,2021,3,202103
calarasi,3252,390,821,1096,394,52,406,93,21-03-educatie,calarasi,3252,1571,1681,889,473,416,2363,1098,1265,21-03-medii,calarasi,3252,1571,1681,962,2290,3.56,3.56,3.56,21-03-rata,calarasi,3252,138,185,588,612,663,1066,21-03-varsta,2021,3,202103
caras,3760,449,525,877,1072,104,502,231,21-03-educatie,caras,3760,1765,1995,1651,812,839,2109,953,1156,21-03-medii,cara?,3760,1765,1995,1631,2129,3.53,3.75,3.36,21-03-rata,caras,3760,459,174,593,981,786,767,21-03-varsta,2021,3,202103
cluj,6129,694,812,1374,1383,174,1005,687,21-03-educatie,cluj,6129,3326,2803,2889,1792,1097,3240,1534,1706,21-03-medii,cluj,6129,3326,2803,2732,3397,1.64,2.02,1.34,21-03-rata,cluj,6129,723,355,1184,1556,1280,1031,21-03-varsta,2021,3,202103
constanta,8170,937,1186,1946,2204,103,1155,639,21-03-educatie,constanta,8170,4792,3378,4061,2707,1354,4109,2085,2024,21-03-medii,constanta,8170,4792,3378,3760,4410,2.77,3.74,2.03,21-03-rata,constanta,8170,776,349,1305,2212,1775,1753,21-03-varsta,2021,3,202103
covasna,4153,521,1486,899,716,44,372,115,21-03-educatie,covasna,4153,2034,2119,1225,679,546,2928,1355,1573,21-03-medii,covasna,4153,2034,2119,1064,3089,4.84,4.97,4.72,21-03-rata,covasna,4153,753,297,904,1073,598,528,21-03-varsta,2021,3,202103
dambovita,5956,412,1346,1882,1184,77,785,270,21-03-educatie,dambovita,5956,2849,3107,1146,622,524,4810,2227,2583,21-03-medii,dambovita,5956,2849,3107,1652,4304,3.09,3.47,2.82,21-03-rata,dambovita,5956,706,344,902,1510,1330,1164,21-03-varsta,2021,3,202103
dolj,18384,859,6344,4904,3757,265,1928,327,21-03-educatie,dolj,18384,7845,10539,3016,1705,1311,15368,6140,9228,21-03-medii,dolj,18384,7845,10539,3041,15343,6.91,6.48,7.26,21-03-rata,dolj,18384,1660,966,3135,5220,3746,3657,21-03-varsta,2021,3,202103
galati,11622,1267,2451,4411,1411,103,1548,431,21-03-educatie,galati,11622,5012,6610,2346,1324,1022,9276,3688,5588,21-03-medii,galati,11622,5012,6610,2379,9243,6.12,5.84,6.34,21-03-rata,galati,11622,943,416,1675,3456,2298,2834,21-03-varsta,2021,3,202103
giurgiu,2235,238,460,792,469,20,183,73,21-03-educatie,giurgiu,2235,1170,1065,542,322,220,1693,848,845,21-03-medii,giurgiu,2235,1170,1065,739,1496,2.78,3.15,2.46,21-03-rata,giurgiu,2235,311,125,319,528,477,475,21-03-varsta,2021,3,202103
gorj,5108,0,585,1474,1547,103,1055,344,21-03-educatie,gorj,5108,2373,2735,1616,908,708,3492,1465,2027,21-03-medii,gorj,5108,2373,2735,2025,3083,3.78,3.78,3.77,21-03-rata,gorj,5108,501,251,792,1383,1221,960,21-03-varsta,2021,3,202103
harghita,6023,846,2008,1126,1033,84,762,164,21-03-educatie,harghita,6023,3003,3020,1927,1106,821,4096,1897,2199,21-03-medii,harghita,6023,3003,3020,2377,3646,4.46,5.05,3.99,21-03-rata,harghita,6023,722,331,1265,1725,1123,857,21-03-varsta,2021,3,202103
hunedoara,5743,226,613,1364,1888,135,958,559,21-03-educatie,hunedoara,5743,3174,2569,3961,2302,1659,1782,872,910,21-03-medii,hunedoara,5743,3174,2569,3262,2481,3.35,3.95,2.81,21-03-rata,hunedoara,5743,586,299,903,1595,1433,927,21-03-varsta,2021,3,202103
ialomita,4627,342,973,1596,824,46,759,87,21-03-educatie,ialomita,4627,2070,2557,1505,783,722,3122,1287,1835,21-03-medii,ialomita,4627,2070,2557,1526,3101,4.93,4.78,5.06,21-03-rata,ialomita,4627,438,181,674,1353,915,1066,21-03-varsta,2021,3,202103
iasi,9676,599,1813,3076,1000,97,2581,510,21-03-educatie,iasi,9676,4357,5319,1918,1047,871,7758,3310,4448,21-03-medii,iasi,9676,4357,5319,2055,7621,3.25,3.13,3.37,21-03-rata,iasi,9676,771,260,1383,2783,2063,2416,21-03-varsta,2021,3,202103
ilfov,1439,97,347,232,361,18,185,199,21-03-educatie,ilfov,1439,886,553,511,330,181,928,556,372,21-03-medii,ilfov,1439,886,553,930,509,0.69,1.0,0.46,21-03-rata,ilfov,1439,97,58,266,486,324,208,21-03-varsta,2021,3,202103
maramures,4100,90,529,904,1300,121,769,387,21-03-educatie,maramures,4100,2054,2046,2093,1137,956,2007,917,1090,21-03-medii,maramures,4100,2054,2046,2091,2009,2.03,2.21,1.88,21-03-rata,maramures,4100,800,257,686,1043,751,563,21-03-varsta,2021,3,202103
mehedinti,6277,102,1328,2308,1495,142,808,94,21-03-educatie,mehedinti,6277,2764,3513,1736,903,833,4541,1861,2680,21-03-medii,mehedinti,6277,2764,3513,1669,4608,6.15,5.82,6.45,21-03-rata,mehedinti,6277,509,280,969,1756,1414,1349,21-03-varsta,2021,3,202103
mures,6703,850,2231,1499,923,75,837,288,21-03-educatie,mures,6703,3098,3605,1956,1020,936,4747,2078,2669,21-03-medii,mures,6703,3098,3605,2052,4651,2.84,2.95,2.76,21-03-rata,mures,6703,1101,398,1344,1815,984,1061,21-03-varsta,2021,3,202103
neamt,9119,709,1277,2938,1941,120,1777,357,21-03-educatie,neamt,9119,4018,5101,1837,993,844,7282,3025,4257,21-03-medii,neamt,9119,4018,5101,2424,6695,5.01,4.83,5.16,21-03-rata,neamt,9119,1003,402,1409,2487,1900,1918,21-03-varsta,2021,3,202103
olt,9391,848,1034,3377,2201,163,1615,153,21-03-educatie,olt,9391,4266,5125,2253,1269,984,7138,2997,4141,21-03-medii,olt,9391,4266,5125,2290,7101,5.83,5.76,5.88,21-03-rata,olt,9391,816,330,1326,2696,2101,2122,21-03-varsta,2021,3,202103
prahova,8442,569,1188,2132,2008,190,1715,640,21-03-educatie,prahova,8442,4357,4085,2991,1735,1256,5451,2622,2829,21-03-medii,prahova,8442,4357,4085,4169,4273,2.9,3.53,2.44,21-03-rata,prahova,8442,876,333,1426,2385,2029,1393,21-03-varsta,2021,3,202103
salaj,5288,419,1600,1413,893,70,671,222,21-03-educatie,salaj,5288,2408,2880,1139,653,486,4149,1755,2394,21-03-medii,salaj,5288,2408,2880,1541,3747,5.11,5.32,4.96,21-03-rata,salaj,5288,798,314,1142,1359,899,776,21-03-varsta,2021,3,202103
satumare,5042,646,2049,1416,426,27,368,110,21-03-educatie,satumare,5042,2358,2684,986,521,465,4056,1837,2219,21-03-medii,satum,5042,2358,2684,855,4187,3.45,3.5,3.4,21-03-rata,satumare,5042,720,338,1142,1461,713,668,21-03-varsta,2021,3,202103
sibiu,4893,450,1263,1119,822,85,772,382,21-03-educatie,sibiu,4893,2359,2534,1912,1041,871,2981,1318,1663,21-03-medii,sibiu,4893,2359,2534,2237,2656,2.49,2.76,2.28,21-03-rata,sibiu,4893,407,297,998,1388,861,942,21-03-varsta,2021,3,202103
suceava,11353,1073,1799,3305,2329,172,2196,479,21-03-educatie,suceava,11353,5024,6329,3172,1593,1579,8181,3431,4750,21-03-medii,suceava,11353,5024,6329,4869,6484,4.9,4.74,5.04,21-03-rata,suceava,11353,1745,641,2071,3030,1856,2010,21-03-varsta,2021,3,202103
teleorman,9496,721,1356,4470,1570,99,1164,116,21-03-educatie,teleorman,9496,3993,5503,2020,1039,981,7476,2954,4522,21-03-medii,teleorman,9496,3993,5503,1794,7702,6.76,5.83,7.65,21-03-rata,teleorman,9496,910,491,1554,2553,2052,1936,21-03-varsta,2021,3,202103
timis,4180,498,441,754,1216,90,596,585,21-03-educatie,timis,4180,2311,1869,2125,1261,864,2055,1050,1005,21-03-medii,timis,4180,2311,1869,2404,1776,1.19,1.49,0.96,21-03-rata,timis,4180,558,242,705,1043,726,906,21-03-varsta,2021,3,202103
tulcea,2841,0,704,848,740,0,457,92,21-03-educatie,tulcea,2841,1362,1479,842,476,366,1999,886,1113,21-03-medii,tulcea,2841,1362,1479,976,1865,3.43,3.52,3.35,21-03-rata,tulcea,2841,373,180,503,707,569,509,21-03-varsta,2021,3,202103
valcea,6049,190,567,1689,1843,149,1182,429,21-03-educatie,valcea,6049,2996,3053,2279,1272,1007,3770,1724,2046,21-03-medii,valcea,6049,2996,3053,2754,3295,3.75,4.15,3.43,21-03-rata,valcea,6049,662,268,921,1660,1443,1095,21-03-varsta,2021,3,202103
vaslui,10431,433,2508,4006,1735,71,1559,119,21-03-educatie,vaslui,10431,4433,5998,1726,983,743,8705,3450,5255,21-03-medii,vaslui,10431,4433,5998,1910,8521,7.81,6.85,8.72,21-03-rata,vaslui,10431,659,333,1585,3310,2366,2178,21-03-varsta,2021,3,202103
vrancea,6015,366,1618,2080,1024,73,685,169,21-03-educatie,vrancea,6015,2616,3399,1241,643,598,4774,1973,2801,21-03-medii,vrancea,6015,2616,3399,1285,4730,4.41,4.1,4.68,21-03-rata,vrancea,6015,677,284,979,1539,1272,1264,21-03-varsta,2021,3,202103
alba,5962,609,1002,1599,1354,79,960,359,21-04-educatie,alba,5962,2906,3056,2111,1166,945,3851,1740,2111,21-04-medii,alba,5962,2906,3056,2259,3703,3.54,3.74,3.37,21-04-rata,alba,5962,515,341,1200,1654,1211,1041,21-04-varsta,2021,4,202104
arad,4201,110,1144,1005,952,62,531,397,21-04-educatie,arad,4201,2299,1902,1776,1028,748,2425,1271,1154,21-04-medii,arad,4201,2299,1902,2242,1959,1.98,2.47,1.6,21-04-rata,arad,4201,323,144,645,1201,995,893,21-04-varsta,2021,4,202104
arges,9531,543,1940,2728,1955,120,1744,501,21-04-educatie,arges,9531,4813,4718,2276,1439,837,7255,3374,3881,21-04-medii,arges,9531,4813,4718,4036,5495,3.68,3.98,3.42,21-04-rata,arges,9531,656,493,1769,2755,2172,1686,21-04-varsta,2021,4,202104
bacau,12118,1040,1610,3305,3103,125,2620,315,21-04-educatie,bacau,12118,5046,7072,2841,1455,1386,9277,3591,5686,21-04-medii,bacau,12118,5046,7072,2278,9840,5.68,5.4,5.91,21-04-rata,bacau,12118,1274,525,1984,3132,2407,2796,21-04-varsta,2021,4,202104
bihor,5449,330,925,1451,1282,95,810,556,21-04-educatie,bihor,5449,3096,2353,1865,1183,682,3584,1913,1671,21-04-medii,bihor,5449,3096,2353,3064,2385,2.06,2.54,1.65,21-04-rata,bihor,5449,502,338,1027,1624,1008,950,21-04-varsta,2021,4,202104
bistrita,4356,181,572,1250,1243,72,793,245,21-04-educatie,bistrita,4356,2212,2144,1535,785,750,2821,1427,1394,21-04-medii,bistrita,4356,2212,2144,2109,2247,3.39,3.81,3.05,21-04-rata,bistrita,4356,605,248,670,1127,891,815,21-04-varsta,2021,4,202104
botosani,3518,178,1039,924,607,61,565,144,21-04-educatie,botosani,3518,1621,1897,1232,639,593,2286,982,1304,21-04-medii,botosani,3518,1621,1897,1104,2414,2.56,2.48,2.64,21-04-rata,botosani,3518,316,123,473,956,734,916,21-04-varsta,2021,4,202104
braila,5053,785,1195,1764,533,68,542,166,21-04-educatie,braila,5053,2143,2910,1384,735,649,3669,1408,2261,21-04-medii,braila,5053,2143,2910,1027,4026,4.14,3.88,4.34,21-04-rata,braila,5053,499,215,822,1446,931,1140,21-04-varsta,2021,4,202104
brasov,6148,978,1416,1507,944,85,714,504,21-04-educatie,brasov,6148,2958,3190,2195,1217,978,3953,1741,2212,21-04-medii,brasov,6148,2958,3190,1824,4324,2.34,2.62,2.13,21-04-rata,brasov,6148,856,307,1236,1579,1087,1083,21-04-varsta,2021,4,202104
bucuresti,14891,27,141,2516,5099,314,2788,4006,21-04-educatie,buc,14891,8061,6830,14891,8061,6830,0,0,0,21-04-medii,buc,14891,8061,6830,4466,10425,1.21,1.31,1.1,21-04-rata,buc,14891,230,1369,3519,4299,3088,2386,21-04-varsta,2021,4,202104
buzau,9701,937,2223,3320,1304,105,1644,168,21-04-educatie,buzau,9701,3826,5875,1556,773,783,8145,3053,5092,21-04-medii,buzau,9701,3826,5875,2010,7691,5.65,4.78,6.41,21-04-rata,buzau,9701,636,389,1449,2761,2194,2272,21-04-varsta,2021,4,202104
calarasi,2924,331,739,1003,413,25,339,74,21-04-educatie,calarasi,2924,1456,1468,752,372,380,2172,1084,1088,21-04-medii,calarasi,2924,1456,1468,648,2276,3.2,3.3,3.11,21-04-rata,calarasi,2924,223,111,622,808,536,624,21-04-varsta,2021,4,202104
caras,3545,469,497,837,963,94,468,217,21-04-educatie,caras,3545,1678,1867,1578,766,812,1967,912,1055,21-04-medii,cara?,3545,1678,1867,1506,2039,3.33,3.56,3.14,21-04-rata,caras,3545,388,162,542,915,791,747,21-04-varsta,2021,4,202104
cluj,5967,696,835,1359,1301,164,957,655,21-04-educatie,cluj,5967,3231,2736,2780,1723,1057,3187,1508,1679,21-04-medii,cluj,5967,3231,2736,2571,3396,1.6,1.96,1.31,21-04-rata,cluj,5967,674,344,1139,1497,1293,1020,21-04-varsta,2021,4,202104
constanta,7064,899,1074,1727,1774,79,963,548,21-04-educatie,constanta,7064,3981,3083,3442,2234,1208,3622,1747,1875,21-04-medii,constanta,7064,3981,3083,2997,4067,2.4,3.11,1.85,21-04-rata,constanta,7064,608,309,1172,1863,1391,1721,21-04-varsta,2021,4,202104
covasna,4080,551,1529,908,629,36,318,109,21-04-educatie,covasna,4080,1976,2104,1153,629,524,2927,1347,1580,21-04-medii,covasna,4080,1976,2104,897,3183,4.76,4.83,4.69,21-04-rata,covasna,4080,723,290,896,1041,591,539,21-04-varsta,2021,4,202104
dambovita,6139,422,1340,1950,1205,66,871,285,21-04-educatie,dambovita,6139,2841,3298,1189,616,573,4950,2225,2725,21-04-medii,dambovita,6139,2841,3298,1743,4396,3.19,3.46,2.99,21-04-rata,dambovita,6139,680,346,863,1591,1393,1266,21-04-varsta,2021,4,202104
dolj,17416,2555,4168,4759,3510,238,1845,341,21-04-educatie,dolj,17416,7476,9940,2811,1627,1184,14605,5849,8756,21-04-medii,dolj,17416,7476,9940,2815,14601,6.54,6.18,6.85,21-04-rata,dolj,17416,1495,879,3056,4831,3597,3558,21-04-varsta,2021,4,202104
galati,10918,1254,2335,4111,1287,87,1448,396,21-04-educatie,galati,10918,4739,6179,2195,1256,939,8723,3483,5240,21-04-medii,galati,10918,4739,6179,2120,8798,5.75,5.52,5.93,21-04-rata,galati,10918,878,409,1623,3270,2159,2579,21-04-varsta,2021,4,202104
giurgiu,2315,249,490,765,556,23,166,66,21-04-educatie,giurgiu,2315,1209,1106,578,333,245,1737,876,861,21-04-medii,giurgiu,2315,1209,1106,681,1634,2.88,3.26,2.55,21-04-rata,giurgiu,2315,452,121,309,508,451,474,21-04-varsta,2021,4,202104
gorj,4564,0,561,1411,1238,85,938,331,21-04-educatie,gorj,4564,2164,2400,1449,842,607,3115,1322,1793,21-04-medii,gorj,4564,2164,2400,1770,2794,3.38,3.45,3.31,21-04-rata,gorj,4564,310,179,715,1283,1147,930,21-04-varsta,2021,4,202104
harghita,5577,819,1883,1049,946,75,670,135,21-04-educatie,harghita,5577,2818,2759,1758,1013,745,3819,1805,2014,21-04-medii,harghita,5577,2818,2759,2061,3516,4.13,4.74,3.65,21-04-rata,harghita,5577,672,294,1159,1570,1069,813,21-04-varsta,2021,4,202104
hunedoara,5615,228,615,1398,1749,133,951,541,21-04-educatie,hunedoara,5615,3102,2513,3772,2184,1588,1843,918,925,21-04-medii,hunedoara,5615,3102,2513,3087,2528,3.27,3.86,2.75,21-04-rata,hunedoara,5615,528,285,911,1545,1402,944,21-04-varsta,2021,4,202104
ialomita,4316,342,964,1477,713,42,694,84,21-04-educatie,ialomita,4316,1954,2362,1407,732,675,2909,1222,1687,21-04-medii,ialomita,4316,1954,2362,1289,3027,4.6,4.51,4.68,21-04-rata,ialomita,4316,369,166,652,1271,850,1008,21-04-varsta,2021,4,202104
iasi,9214,603,1829,3038,844,80,2376,444,21-04-educatie,iasi,9214,4134,5080,1704,940,764,7510,3194,4316,21-04-medii,iasi,9214,4134,5080,1858,7356,3.1,2.97,3.22,21-04-rata,iasi,9214,648,232,1330,2665,1979,2360,21-04-varsta,2021,4,202104
ilfov,1453,109,377,252,335,12,186,182,21-04-educatie,ilfov,1453,874,579,506,325,181,947,549,398,21-04-medii,ilfov,1453,874,579,876,577,0.7,0.99,0.49,21-04-rata,ilfov,1453,88,58,253,493,333,228,21-04-varsta,2021,4,202104
maramures,4132,98,772,873,1201,109,700,379,21-04-educatie,maramures,4132,2070,2062,2132,1143,989,2000,927,1073,21-04-medii,maramures,4132,2070,2062,1954,2178,2.05,2.23,1.9,21-04-rata,maramures,4132,697,284,716,1038,793,604,21-04-varsta,2021,4,202104
mehedinti,6020,228,1181,2280,1349,127,762,93,21-04-educatie,mehedinti,6020,2615,3405,1360,731,629,4660,1884,2776,21-04-medii,mehedinti,6020,2615,3405,1541,4479,5.9,5.51,6.25,21-04-rata,mehedinti,6020,471,261,939,1679,1376,1294,21-04-varsta,2021,4,202104
mures,6616,818,2158,1488,925,69,880,278,21-04-educatie,mures,6616,3148,3468,1932,1030,902,4684,2118,2566,21-04-medii,mures,6616,3148,3468,2143,4473,2.81,3.0,2.66,21-04-rata,mures,6616,1034,423,1355,1825,950,1029,21-04-varsta,2021,4,202104
neamt,8154,666,1186,2648,1690,112,1540,312,21-04-educatie,neamt,8154,3645,4509,1633,903,730,6521,2742,3779,21-04-medii,neamt,8154,3645,4509,2156,5998,4.48,4.38,4.56,21-04-rata,neamt,8154,841,341,1235,2231,1738,1768,21-04-varsta,2021,4,202104
olt,8718,752,1107,3198,1930,138,1460,133,21-04-educatie,olt,8718,3925,4793,2001,1123,878,6717,2802,3915,21-04-medii,olt,8718,3925,4793,2067,6651,5.41,5.3,5.5,21-04-rata,olt,8718,691,298,1212,2509,2016,1992,21-04-varsta,2021,4,202104
prahova,8103,600,1205,2097,1791,172,1629,609,21-04-educatie,prahova,8103,4148,3955,2819,1628,1191,5284,2520,2764,21-04-medii,prahova,8103,4148,3955,3779,4324,2.78,3.36,2.36,21-04-rata,prahova,8103,756,321,1353,2322,1958,1393,21-04-varsta,2021,4,202104
salaj,5029,425,1600,1378,737,60,619,210,21-04-educatie,salaj,5029,2277,2752,1020,587,433,4009,1690,2319,21-04-medii,salaj,5029,2277,2752,1314,3715,4.86,5.03,4.74,21-04-rata,salaj,5029,702,311,1099,1312,863,742,21-04-varsta,2021,4,202104
satumare,5011,639,1995,1422,451,26,364,114,21-04-educatie,satumare,5011,2356,2655,985,534,451,4026,1822,2204,21-04-medii,satum,5011,2356,2655,954,4057,3.43,3.5,3.37,21-04-rata,satumare,5011,684,315,1111,1462,744,695,21-04-varsta,2021,4,202104
